== 已剔除的现代要素 ==
  poi | {'amenity': 'motorcycle_parking'} | 9518547788
  poi | {'amenity': 'conference_centre'} | 会议室
  poi | {'amenity': 'parking'} | 9519038092
  poi | {'amenity': 'bicycle_parking'} | 9521049020
  poi | {'amenity': 'bicycle_parking'} | 9521049021
  poi | {'amenity': 'language_school'} | 扬州大学外国语学院海外（社会）考试中心
  man_made | {'man_made': 'crane'} | 10130755166
  man_made | {'man_made': 'crane'} | 10130755167
  man_made | {'man_made': 'crane'} | 10130755223
  man_made | {'man_made': 'crane'} | 10130755230
  man_made | {'man_made': 'crane'} | 10130755338
  man_made | {'man_made': 'crane'} | 10130755339
  man_made | {'man_made': 'crane'} | 10130755340
  man_made | {'man_made': 'crane'} | 10130755341
  man_made | {'man_made': 'crane'} | 10130755342
  man_made | {'man_made': 'crane'} | 10130755343
  man_made | {'man_made': 'crane'} | 10130755344
  man_made | {'man_made': 'crane'} | 10130755345
  man_made | {'man_made': 'crane'} | 10130755346
  man_made | {'man_made': 'crane'} | 10130755347
  man_made | {'man_made': 'crane'} | 10130755348
  man_made | {'man_made': 'crane'} | 10130755349
  man_made | {'man_made': 'chimney'} | 10130755608
  historic | {'historic': 'memorial'} | 张之睿先生纪念亭
  man_made | {'man_made': 'chimney'} | 10240902636
  man_made | {'man_made': 'chimney'} | 10240902637
  man_made | {'man_made': 'chimney'} | 10240902638
  poi | {'amenity': 'charging_station'} | 国家电网
  poi | {'amenity': 'charging_station'} | 蔚来换电站
  poi | {'amenity': 'charging_station'} | 蔚来换电站
  shop | {'shop': 'tobacco'} | 德广商贸烟酒茶加盟店
  shop | {'shop': 'agrarian'} | 红太阳蛋品专卖店
  shop | {'shop': 'mobile_phone'} | 小米之家
  poi | {'amenity': 'internet_cafe'} | 鲤鱼电竞
  shop | {'shop': 'car_repair'} | 杰伟汽车服务会所
  poi | {'amenity': 'bank'} | 中国邮政储蓄银行
  man_made | {'man_made': 'tower'} | 11190927429
  man_made | {'man_made': 'tower'} | 11190930866
  railway | {'railway': 'station'} | 仪征北
  shop | {'shop': 'pet'} | Lanmao宠物生活馆
  shop | {'shop': 'garden_centre'} | 春风有信植物便利店
  poi | {'amenity': 'bus_station'} | 瘦西湖公交首末站
  poi | {'amenity': 'bus_station'} | 江都汽车客运站
  poi | {'amenity': 'bus_station'} | 仪征客运枢纽
  poi | {'amenity': 'research_institute'} | 江苏里下河地区农业科学研究所
  man_made | {'man_made': 'antenna'} | 12736055694
  man_made | {'man_made': 'antenna'} | 12736093414
  man_made | {'man_made': 'lighthouse'} | 邵伯湖灯塔
  tourism | {'tourism': 'museum'} | 朱自清故居
  man_made | {'man_made': 'tower'} | 银岭塔
  man_made | {'man_made': 'tower'} | 13028099082
  man_made | {'man_made': 'tower'} | 13028109334
  poi | {'amenity': 'parking'} | 13028181964
  poi | {'amenity': 'parking_entrance'} | 13055571921
  poi | {'amenity': 'parking_entrance'} | 13055571925
  poi | {'amenity': 'parking'} | 13055571928
  poi | {'amenity': 'parking'} | 13055571968
  shop | {'shop': 'electronics'} | 尼康
  shop | {'shop': 'electronics'} | DJI
  poi | {'amenity': 'bank'} | 中国邮政储蓄银行
  shop | {'shop': 'mobile_phone'} | 华为
  poi | {'amenity': 'training'} | 黑马培训
  shop | {'shop': 'second_hand;watches'} | 表随芯动
  shop | {'shop': 'mobile_phone'} | 小米之家
  shop | {'shop': 'mobile_phone'} | 华为
  shop | {'shop': 'mobile_phone'} | 荣耀
  poi | {'amenity': 'studio'} | 极地摄影
  shop | {'shop': 'bicycle'} | Trek
  poi | {'amenity': 'karaoke_box'} | S·KING KTV
  shop | {'shop': 'copyshop'} | 扬州新画面广告图文
  shop | {'shop': 'copyshop'} | 艾印图文
  shop | {'shop': 'health_food'} | 如禾素食
  shop | {'shop': 'sports'} | 佳好乐
  poi | {'amenity': 'internet_cafe'} | 宜博电竞馆
  poi | {'amenity': 'post_office'} | 中国邮政大学生邮局
  shop | {'shop': 'tyres'} | 火补轮胎
  shop | {'shop': 'mobile_phone'} | 荣耀
  shop | {'shop': 'electronics'} | 京猫
  shop | {'shop': 'electronics'} | 京猫
  shop | {'shop': 'interior_decoration'} | 一冉装饰
  shop | {'shop': 'kiosk'} | 邮政书报亭
  shop | {'shop': 'mobile_phone'} | 小米之家
  poi | {'amenity': 'charging_station'} | 开迈斯
  shop | {'shop': 'car'} | 零跑汽车
  poi | {'amenity': 'charging_station'} | 特来电
  poi | {'amenity': 'charging_station'} | 特来电
  shop | {'shop': 'telecommunication'} | 中国移动
  shop | {'shop': 'massage'} | 纤手人生
  shop | {'shop': 'telecommunication'} | 中国移动
  poi | {'amenity': 'parking'} | 13769563903
  poi | {'amenity': 'charging_station'} | 特来电汽车充电站
  shop | {'shop': 'health_food'} | 辽参特卖 大连海参
  poi | {'amenity': 'motorcycle_parking'} | 机车驿站
  shop | {'shop': 'mobile_phone_accessories'} | 膜佰家
  poi | {'amenity': 'charging_station'} | 国家电网
  line | {} | 10280860
  line | {} | 10281599
  line | {} | 10281866
  line | {} | 51824233
  line | {} | 87899380
  railway | {'railway': 'abandoned', 'bridge': 'yes'} | 94229411
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'abandoned'} | 94229433
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 江苏国信仪征热电有限责任公司专用线
  railway | {'railway': 'rail'} | 153998409
  railway | {'railway': 'rail'} | 153998413
  railway | {'railway': 'abandoned', 'bridge': 'yes'} | 165745286
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'abandoned'} | 192325569
  road | {'highway': 'secondary'} | 史可法路
  road | {'highway': 'tertiary'} | 史可法东路
  line | {} | 235406647
  line | {} | 235623561
  man_made | {'man_made': 'wastewater_plant'} | 248653901
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  line | {} | 252045047
  man_made | {'man_made': 'wastewater_plant'} | 252045048
  line | {} | 252045049
  man_made | {'man_made': 'wastewater_plant'} | 260403343
  line | {} | 265004247
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  line | {} | 287200215
  line | {} | 287200241
  line | {} | 287200244
  line | {} | 287200251
  line | {} | 287200253
  line | {} | 287200254
  line | {} | 287200256
  line | {} | 287200258
  line | {} | 287200259
  line | {} | 319734320
  railway | {'railway': 'rail'} | 320789787
  railway | {'railway': 'rail'} | 320789789
  railway | {'railway': 'rail'} | 320789793
  railway | {'railway': 'rail'} | 320789795
  railway | {'railway': 'rail'} | 320789797
  railway | {'railway': 'disused'} | 320789801
  line | {} | 339482890
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  line | {} | 339936386
  line | {} | 339936388
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  line | {} | 342118780
  line | {} | 342536201
  line | {} | 343601368
  line | {} | 343687543
  line | {} | 343687551
  line | {} | 343687552
  line | {} | 343687553
  line | {} | 343687554
  man_made | {'man_made': 'wastewater_plant'} | 357797176
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  railway | {'railway': 'rail'} | 宁启线
  railway | {'railway': 'rail'} | 361714814
  railway | {'railway': 'rail'} | 361714815
  railway | {'railway': 'rail'} | 361714816
  railway | {'railway': 'rail'} | 361716522
  railway | {'railway': 'rail'} | 361716523
  line | {} | 362004194
  line | {} | 362004196
  line | {} | 362004207
  line | {} | 362004219
  line | {} | 362004257
  line | {} | 362004296
  line | {} | 364516418
  line | {} | 364516503
  line | {} | 367819170
  line | {} | 367819251
  line | {} | 367819269
  line | {} | 367819326
  line | {} | 367819365
  line | {} | 367819366
  line | {} | 367819373
  line | {} | 367819384
  line | {} | 367819389
  line | {} | 367819412
  line | {} | 367819414
  line | {} | 377245318
  line | {} | 377284002
  line | {} | 377293084
  line | {} | 377293085
  line | {} | 377293087
  line | {} | 377469998
  line | {} | 377484164
  line | {} | 马集客运站
  line | {} | 379744207
  line | {} | 379756979
  railway | {'railway': 'rail', 'bridge': 'yes'} | 宁启线
  line | {} | 392716402
  line | {} | 392716410
  line | {} | 392716429
  line | {} | 392716431
  line | {} | 392716438
  line | {} | 392716442
  line | {} | 392716457
  line | {} | 392716465
  line | {} | 392716472
  line | {} | 392716475
  line | {} | 392716476
  line | {} | 392716477
  line | {} | 392716479
  line | {} | 392716482
  line | {} | 392716483
  line | {} | 392716488
  line | {} | 392716490
  line | {} | 392716494
  line | {} | 392716499
  line | {} | 392716503
  line | {} | 392716511
  line | {} | 392716512
  line | {} | 392716521
  line | {} | 392716527
  line | {} | 392716531
  line | {} | 392716538
